Trail,Month,Day,Year,Mile,Town
Colorado Trail,7,2,2023,0,Waterton Canyon
Colorado Trail,7,2,2023,11.2,
Colorado Trail,7,3,2023,27.2,
Colorado Trail,7,4,2023,43.3,
Colorado Trail,7,5,2023,57.1,
Colorado Trail,7,6,2023,74.7,
Colorado Trail,7,7,2023,90.6,
Colorado Trail,7,8,2023,104,Breckenridge
Colorado Trail,7,9,2023,110.6,
Colorado Trail,7,10,2023,124.8,Copper
Colorado Trail,7,11,2023,142.7,Leadville
Colorado Trail,7,12,2023,157.6,
Colorado Trail,7,13,2023,173,
Colorado Trail,7,14,2023,177.5,Twin Lakes
Colorado Trail,7,15,2023,184,
Colorado Trail,7,16,2023,200.1,
Colorado Trail,7,17,2023,218.7,
Colorado Trail,7,18,2023,234.7,
Colorado Trail,7,19,2023,253.2,
Colorado Trail,7,20,2023,261.6,Salida
Colorado Trail,7,21,2023,272.5,
Colorado Trail,7,22,2023,294.3,
Colorado Trail,7,23,2023,317.3,
Colorado Trail,7,24,2023,331.8,
Colorado Trail,7,25,2023,352.2,
Colorado Trail,7,26,2023,362.9,
Colorado Trail,7,27,2023,372.5,
Colorado Trail,7,28,2023,400.9,
Colorado Trail,7,29,2023,418.2,Silverton
Colorado Trail,7,30,2023,437.9,
Colorado Trail,7,31,2023,460.9,
Colorado Trail,8,1,2023,481.7,
Colorado Trail,8,2,2023,491.5,
